pokedex_number,name,generation,is_legendary,classification,type1,type2,height_m,weight_kg,ability_1,ability_2,ability_hidden,base_total,hp,attack,defense,sp_attack,sp_defense,speed,capture_rate,base_happiness,experience_growth,percentage_male,base_egg_steps
330,Flygon,3,0,Mystic Pokémon,Ground,Dragon,2,82,Levitate,,,520,80,100,80,80,80,100,45,70,1059860,50,5120
331,Cacnea,3,0,Cactus Pokémon,Grass,,0.4,51.3,Sand Veil,,Water Absorb,335,50,85,40,85,40,35,190,35,1059860,50,5120
332,Cacturne,3,0,Scarecrow Pokémon,Grass,Dark,1.3,77.4,Sand Veil,,Water Absorb,475,70,115,60,115,60,55,60,35,1059860,50,5120
333,Swablu,3,0,Cotton Bird Pokémon,Normal,Flying,0.4,1.2,Natural Cure,,Cloud Nine,310,45,40,60,40,75,50,255,70,600000,50,5120
334,Altaria,3,0,Humming Pokémon,Dragon,Flying,1.1,20.6,Natural Cure,,Cloud Nine,490,75,70,90,70,105,80,45,70,600000,50,5120
335,Zangoose,3,0,Cat Ferret Pokémon,Normal,,1.3,40.3,Immunity,,Toxic Boost,458,73,115,60,60,60,90,90,70,600000,50,5120
336,Seviper,3,0,Fang Snake Pokémon,Poison,,2.7,52.5,Shed Skin,,Infiltrator,458,73,100,60,100,60,65,90,70,1640000,50,5120
337,Lunatone,3,0,Meteorite Pokémon,Rock,Psychic,1,168,Levitate,,,460,90,55,65,95,85,70,45,70,800000,Genderless,6400
338,Solrock,3,0,Meteorite Pokémon,Rock,Psychic,1.2,154,Levitate,,,460,90,95,85,55,65,70,45,70,800000,Genderless,6400
339,Barboach,3,0,Whiskers Pokémon,Water,Ground,0.4,1.9,Oblivious,Anticipation,Hydration,288,50,48,43,46,41,60,190,70,1000000,50,5120
340,Whiscash,3,0,Whiskers Pokémon,Water,Ground,0.9,23.6,Oblivious,Anticipation,Hydration,468,110,78,73,76,71,60,75,70,1000000,50,5120
341,Corphish,3,0,Ruffian Pokémon,Water,,0.6,11.5,Hyper Cutter,Shell Armor,Adaptability,308,43,80,65,50,35,35,205,70,1640000,50,3840
342,Crawdaunt,3,0,Rogue Pokémon,Water,Dark,1.1,32.8,Hyper Cutter,Shell Armor,Adaptability,468,63,120,85,90,55,55,155,70,1640000,50,3840
343,Baltoy,3,0,Clay Doll Pokémon,Ground,Psychic,0.5,21.5,Levitate,,,300,40,40,55,40,70,55,255,70,1000000,Genderless,5120
344,Claydol,3,0,Clay Doll Pokémon,Ground,Psychic,1.5,108,Levitate,,,500,60,70,105,70,120,75,90,70,1000000,Genderless,5120
345,Lileep,3,0,Sea Lily Pokémon,Rock,Grass,1,23.8,Suction Cups,,Storm Drain,355,66,41,77,61,87,23,45,70,600000,88.1,7680
346,Cradily,3,0,Barnacle Pokémon,Rock,Grass,1.5,60.4,Suction Cups,,Storm Drain,495,86,81,97,81,107,43,45,70,600000,88.1,7680
347,Anorith,3,0,Old Shrimp Pokémon,Rock,Bug,0.7,12.5,Battle Armor,,Swift Swim,355,45,95,50,40,50,75,45,70,600000,88.1,7680
348,Armaldo,3,0,Plate Pokémon,Rock,Bug,1.5,68.2,Battle Armor,,Swift Swim,495,75,125,100,70,80,45,45,70,600000,88.1,7680
349,Feebas,3,0,Fish Pokémon,Water,,0.6,7.4,Swift Swim,Oblivious,Adaptability,200,20,15,20,10,55,80,255,70,600000,50,5120
350,Milotic,3,0,Tender Pokémon,Water,,6.2,162,Marvel Scale,Competitive,Cute Charm,540,95,60,79,100,125,81,60,70,600000,50,5120
351,Castform,3,0,Weather Pokémon,Normal,,0.3,0.8,Forecast,,,420,70,70,70,70,70,70,45,70,1000000,50,6400
352,Kecleon,3,0,Color Swap Pokémon,Normal,,1,22,Color Change,,Protean,440,60,90,70,60,120,40,200,70,1059860,50,5120
353,Shuppet,3,0,Puppet Pokémon,Ghost,,0.6,2.3,Insomnia,Frisk,Cursed Body,295,44,75,35,63,33,45,225,35,800000,50,6400
354,Banette,3,0,Marionette Pokémon,Ghost,,1.1,12.5,Insomnia,Frisk,Cursed Body,455,64,115,65,83,63,65,45,35,800000,50,6400
355,Duskull,3,0,Requiem Pokémon,Ghost,,0.8,15,Levitate,,Frisk,295,20,40,90,30,90,25,190,35,800000,50,6400
356,Dusclops,3,0,Beckon Pokémon,Ghost,,1.6,30.6,Pressure,,Frisk,455,40,70,130,60,130,25,90,35,800000,50,6400
357,Tropius,3,0,Fruit Pokémon,Grass,Flying,2,100,Chlorophyll,Solar Power,Harvest,460,99,68,83,72,87,51,200,70,1250000,50,6400
358,Chimecho,3,0,Wind Chime Pokémon,Psychic,,0.6,1,Levitate,,,455,75,50,80,95,90,65,45,70,800000,50,6400
359,Absol,3,0,Disaster Pokémon,Dark,,1.2,47,Pressure,Super Luck,Justified,465,65,130,60,75,60,75,30,35,1059860,50,6400
360,Wynaut,3,0,Bright Pokémon,Psychic,,0.6,14,Shadow Tag,,Telepathy,260,95,23,48,23,48,23,125,70,1000000,50,5120
361,Snorunt,3,0,Snow Hat Pokémon,Ice,,0.7,16.8,Inner Focus,Ice Body,Moody,300,50,50,50,50,50,50,190,70,1000000,50,5120
362,Glalie,3,0,Face Pokémon,Ice,,1.5,256.5,Inner Focus,Ice Body,Moody,480,80,80,80,80,80,80,75,70,1000000,50,5120
363,Spheal,3,0,Clap Pokémon,Ice,Water,0.8,39.5,Thick Fat,Ice Body,Oblivious,290,70,40,50,55,50,25,255,70,1059860,50,5120
364,Sealeo,3,0,Ball Roll Pokémon,Ice,Water,1.1,87.6,Thick Fat,Ice Body,Oblivious,410,90,60,70,75,70,45,120,70,1059860,50,5120
365,Walrein,3,0,Ice Break Pokémon,Ice,Water,1.4,150.6,Thick Fat,Ice Body,Oblivious,530,110,80,90,95,90,65,45,70,1059860,50,5120
366,Clamperl,3,0,Bivalve Pokémon,Water,,0.4,52.5,Shell Armor,,Rattled,345,35,64,85,74,55,32,255,70,600000,50,5120
367,Huntail,3,0,Deep Sea Pokémon,Water,,1.7,27,Swift Swim,,Water Veil,485,55,104,105,94,75,52,60,70,600000,50,5120
368,Gorebyss,3,0,South Sea Pokémon,Water,,1.8,22.6,Swift Swim,,Hydration,485,55,84,105,114,75,52,60,70,600000,50,5120
369,Relicanth,3,0,Longevity Pokémon,Water,Rock,1,23.4,Swift Swim,Rock Head,Sturdy,485,100,90,130,45,65,55,25,70,1250000,88.1,10240
370,Luvdisc,3,0,Rendezvous Pokémon,Water,,0.6,8.7,Swift Swim,,Hydration,330,43,30,55,40,65,97,225,70,800000,24.6,5120
371,Bagon,3,0,Rock Head Pokémon,Dragon,,0.6,42.1,Rock Head,,Sheer Force,300,45,75,60,40,30,50,45,35,1250000,50,10240
372,Shelgon,3,0,Endurance Pokémon,Dragon,,1.1,110.5,Rock Head,,Overcoat,420,65,95,100,60,50,50,45,35,1250000,50,10240
373,Salamence,3,0,Dragon Pokémon,Dragon,Flying,1.5,102.6,Intimidate,,Moxie,600,95,135,80,110,80,100,45,35,1250000,50,10240
374,Beldum,3,0,Iron Ball Pokémon,Steel,Psychic,0.6,95.2,Clear Body,,Light Metal,300,40,55,80,35,60,30,3,35,1250000,Genderless,10240
375,Metang,3,0,Iron Claw Pokémon,Steel,Psychic,1.2,202.5,Clear Body,,Light Metal,420,60,75,100,55,80,50,3,35,1250000,Genderless,10240
376,Metagross,3,0,Iron Leg Pokémon,Steel,Psychic,1.6,550,Clear Body,,Light Metal,600,80,135,130,95,90,70,3,35,1250000,Genderless,10240
377,Regirock,3,1,Rock Peak Pokémon,Rock,,1.7,230,Clear Body,,Sturdy,580,80,100,200,50,100,50,3,35,1250000,Genderless,20480
378,Regice,3,1,Iceberg Pokémon,Ice,,1.8,175,Clear Body,,Ice Body,580,80,50,100,100,200,50,3,35,1250000,Genderless,20480
379,Registeel,3,1,Iron Pokémon,Steel,,1.9,205,Clear Body,,Light Metal,580,80,75,150,75,150,50,3,35,1250000,Genderless,20480
380,Latias,3,1,Eon Pokémon,Dragon,Psychic,1.4,40,Levitate,,,600,80,80,90,110,130,110,3,90,1250000,0,30720
381,Latios,3,1,Eon Pokémon,Dragon,Psychic,2,60,Levitate,,,600,80,90,80,130,110,110,3,90,1250000,100,30720
382,Kyogre,3,1,Sea Basin Pokémon,Water,,4.5,352,Drizzle,,,670,100,100,90,150,140,90,3,0,1250000,Genderless,30720
382,Primal Kyogre,3,1,Sea Basin Pokémon,Water,,9.8,430,Primordial Sea,,,770,100,150,90,180,160,90,5,0,1250000,Genderless,30720
383,Groudon,3,1,Continent Pokémon,Ground,,3.5,950,Drought,,,670,100,150,140,100,90,90,3,0,1250000,Genderless,30720
383,Primal Groudon,3,1,Continent Pokémon,Ground,Fire,5,999.7,Desolate Land,,,770,100,180,160,150,90,90,5,0,1250000,Genderless,30720
384,Rayquaza,3,1,Sky High Pokémon,Dragon,Flying,7,206.5,Air Lock,,,680,105,150,90,150,90,95,45,0,1250000,Genderless,30720
385,Jirachi,3,1,Wish Pokémon,Steel,Psychic,0.3,1.1,Serene Grace,,,600,100,100,100,100,100,100,3,100,1250000,Genderless,30720
386,Deoxys Normal Forme,3,1,DNA Pokémon,Psychic,,1.7,60.8,Pressure,,,600,50,150,50,150,50,150,3,0,1250000,Genderless,30720
386,Deoxys Attack Forme,3,1,DNA Pokémon,Psychic,,1.7,60.8,Pressure,,,600,50,180,20,180,20,150,3,0,1250000,Genderless,30720
386,Deoxys Defense Forme,3,1,DNA Pokémon,Psychic,,1.7,60.8,Pressure,,,600,50,70,160,70,160,90,3,0,1250000,Genderless,30720
386,Deoxys Speed Forme,3,1,DNA Pokémon,Psychic,,1.7,60.8,Pressure,,,600,50,95,90,95,90,180,3,0,1250000,Genderless,30720
387,Turtwig,4,0,Tiny Leaf Pokémon,Grass,,0.4,10.2,Overgrow,,Shell Armor,318,55,68,64,45,55,31,45,70,1059860,88.1,5120
388,Grotle,4,0,Grove Pokémon,Grass,,1.1,97,Overgrow,,Shell Armor,405,75,89,85,55,65,36,45,70,1059860,88.1,5120
389,Torterra,4,0,Continent Pokémon,Grass,Ground,2.2,310,Overgrow,,Shell Armor,525,95,109,105,75,85,56,45,70,1059860,88.1,5120
390,Chimchar,4,0,Chimp Pokémon,Fire,,0.5,6.2,Blaze,,Iron Fist,309,44,58,44,58,44,61,45,70,1059860,88.1,5120
391,Monferno,4,0,Playful Pokémon,Fire,Fighting,0.9,22,Blaze,,Iron Fist,405,64,78,52,78,52,81,45,70,1059860,88.1,5120
392,Infernape,4,0,Flame Pokémon,Fire,Fighting,1.2,55,Blaze,,Iron Fist,534,76,104,71,104,71,108,45,70,1059860,88.1,5120
393,Piplup,4,0,Penguin Pokémon,Water,,0.4,5.2,Torrent,,Defiant,314,53,51,53,61,56,40,45,70,1059860,88.1,5120
394,Prinplup,4,0,Penguin Pokémon,Water,,0.8,23,Torrent,,Defiant,405,64,66,68,81,76,50,45,70,1059860,88.1,5120
395,Empoleon,4,0,Emperor Pokémon,Water,Steel,1.7,84.5,Torrent,,Defiant,530,84,86,88,111,101,60,45,70,1059860,88.1,5120
396,Starly,4,0,Starling Pokémon,Normal,Flying,0.3,2,Keen Eye,,Reckless,245,40,55,30,30,30,60,255,70,1059860,50,3840
397,Staravia,4,0,Starling Pokémon,Normal,Flying,0.6,15.5,Intimidate,,Reckless,340,55,75,50,40,40,80,120,70,1059860,50,3840
398,Staraptor,4,0,Predator Pokémon,Normal,Flying,1.2,24.9,Intimidate,,Reckless,485,85,120,70,50,60,100,45,70,1059860,50,3840
399,Bidoof,4,0,Plump Mouse Pokémon,Normal,,0.5,20,Simple,Unaware,Moody,250,59,45,40,35,40,31,255,70,1000000,50,3840
400,Bibarel,4,0,Beaver Pokémon,Normal,Water,1,31.5,Simple,Unaware,Moody,410,79,85,60,55,60,71,127,70,1000000,50,3840
401,Kricketot,4,0,Cricket Pokémon,Bug,,0.3,2.2,Shed Skin,,Run Away,194,37,25,41,25,41,25,255,70,1059860,50,3840
402,Kricketune,4,0,Cricket Pokémon,Bug,,1,25.5,Swarm,,Technician,384,77,85,51,55,51,65,45,70,1059860,50,3840
403,Shinx,4,0,Flash Pokémon,Electric,,0.5,9.5,Rivalry,Intimidate,Guts,263,45,65,34,40,34,45,235,70,1059860,50,5120
404,Luxio,4,0,Spark Pokémon,Electric,,0.9,30.5,Rivalry,Intimidate,Guts,363,60,85,49,60,49,60,120,100,1059860,50,5120
405,Luxray,4,0,Gleam Eyes Pokémon,Electric,,1.4,42,Rivalry,Intimidate,Guts,523,80,120,79,95,79,70,45,70,1059860,50,5120
406,Budew,4,0,Bud Pokémon,Grass,Poison,0.2,1.2,Natural Cure,Poison Point,Leaf Guard,280,40,30,35,50,70,55,255,70,1059860,50,5120
407,Roserade,4,0,Bouquet Pokémon,Grass,Poison,0.9,14.5,Natural Cure,Poison Point,Technician,515,60,70,65,125,105,90,75,70,1059860,50,5120
408,Cranidos,4,0,Head Butt Pokémon,Rock,,0.9,31.5,Mold Breaker,,Sheer Force,350,67,125,40,30,30,58,45,70,600000,88.1,7680
409,Rampardos,4,0,Head Butt Pokémon,Rock,,1.6,102.5,Mold Breaker,,Sheer Force,495,97,165,60,65,50,58,45,70,600000,88.1,7680
410,Shieldon,4,0,Shield Pokémon,Rock,Steel,0.5,57,Sturdy,,Soundproof,350,30,42,118,42,88,30,45,70,600000,88.1,7680
411,Bastiodon,4,0,Shield Pokémon,Rock,Steel,1.3,149.5,Sturdy,,Soundproof,495,60,52,168,47,138,30,45,70,600000,88.1,7680
412,Burmy,4,0,Bagworm Pokémon,Bug,,0.2,3.4,Shed Skin,,Overcoat,224,40,29,45,29,45,36,120,70,1000000,50,3840
413,Wormadam Plant Cloak,4,0,Bagworm Pokémon,Bug,Grass,0.5,6.5,Anticipation,,Overcoat,424,60,59,85,79,105,36,45,70,1000000,0,3840
413,Wormadam Sandy Cloak,4,0,Bagworm Pokémon,Bug,Ground,0.5,6.5,Anticipation,,Overcoat,424,60,79,105,59,85,36,45,70,1000000,0,3840
413,Wormadam Trash Cloak,4,0,Bagworm Pokémon,Bug,Steel,0.5,6.5,Anticipation,,Overcoat,424,60,69,95,69,95,36,45,70,1000000,0,3840
414,Mothim,4,0,Moth Pokémon,Bug,Flying,0.9,23.3,Swarm,,Tinted Lens,424,70,94,50,94,50,66,45,70,1000000,100,3840
415,Combee,4,0,Tiny Bee Pokémon,Bug,Flying,0.3,5.5,Honey Gather,,Hustle,244,30,30,42,30,42,70,120,70,1059860,88.1,3840
416,Vespiquen,4,0,Beehive Pokémon,Bug,Flying,1.2,38.5,Pressure,,Unnerve,474,70,80,102,80,102,40,45,70,1059860,0,3840
417,Pachirisu,4,0,EleSquirrel Pokémon,Electric,,0.4,3.9,Run Away,Pickup,Volt Absorb,405,60,45,70,45,90,95,200,100,1000000,50,2560
418,Buizel,4,0,Sea Weasel Pokémon,Water,,0.7,29.5,Swift Swim,,Water Veil,330,55,65,35,60,30,85,190,70,1000000,50,5120
419,Floatzel,4,0,Sea Weasel Pokémon,Water,,1.1,33.5,Swift Swim,,Water Veil,495,85,105,55,85,50,115,75,70,1000000,50,5120
420,Cherubi,4,0,Cherry Pokémon,Grass,,0.4,3.3,Chlorophyll,,,275,45,35,45,62,53,35,190,70,1000000,50,5120
421,Cherrim,4,0,Blossom Pokémon,Grass,,0.5,9.3,Flower Gift,,,450,70,60,70,87,78,85,75,70,1000000,50,5120
422,Shellos,4,0,Sea Slug Pokémon,Water,,0.3,6.3,Sticky Hold,Storm Drain,Sand Force,325,76,48,48,57,62,34,190,70,1000000,50,5120
423,Gastrodon,4,0,Sea Slug Pokémon,Water,Ground,0.9,29.9,Sticky Hold,Storm Drain,Sand Force,475,111,83,68,92,82,39,75,70,1000000,50,5120
424,Ambipom,4,0,Long Tail Pokémon,Normal,,1.2,20.3,Technician,Pickup,Skill Link,482,75,100,66,60,66,115,45,100,800000,50,5120
425,Drifloon,4,0,Balloon Pokémon,Ghost,Flying,0.4,1.2,Aftermath,Unburden,Flare Boost,348,90,50,34,60,44,70,125,70,1640000,50,7680
426,Drifblim,4,0,Blimp Pokémon,Ghost,Flying,1.2,15,Aftermath,Unburden,Flare Boost,498,150,80,44,90,54,80,60,70,1640000,50,7680
427,Buneary,4,0,Rabbit Pokémon,Normal,,0.4,5.5,Run Away,Klutz,Limber,350,55,66,44,44,56,85,190,0,1000000,50,5120
428,Lopunny,4,0,Rabbit Pokémon,Normal,,1.2,33.3,Cute Charm,Klutz,Limber,480,65,76,84,54,96,105,60,140,1000000,50,5120
429,Mismagius,4,0,Magical Pokémon,Ghost,,0.9,4.4,Levitate,,,495,60,60,60,105,105,105,45,35,800000,50,6400
430,Honchkrow,4,0,Big Boss Pokémon,Dark,Flying,0.9,27.3,Insomnia,Super Luck,Moxie,505,100,125,52,105,52,71,30,35,1059860,50,5120
431,Glameow,4,0,Catty Pokémon,Normal,,0.5,3.9,Limber,Own Tempo,Keen Eye,310,49,55,42,42,37,85,190,70,800000,24.6,5120
432,Purugly,4,0,Tiger Cat Pokémon,Normal,,1,43.8,Thick Fat,Own Tempo,Defiant,452,71,82,64,64,59,112,75,70,800000,24.6,5120
433,Chingling,4,0,Bell Pokémon,Psychic,,0.2,0.6,Levitate,,,285,45,30,50,65,50,45,120,70,800000,50,6400
434,Stunky,4,0,Skunk Pokémon,Poison,Dark,0.4,19.2,Stench,Aftermath,Keen Eye,329,63,63,47,41,41,74,225,70,1000000,50,5120
435,Skuntank,4,0,Skunk Pokémon,Poison,Dark,1,38,Stench,Aftermath,Keen Eye,479,103,93,67,71,61,84,60,70,1000000,50,5120
436,Bronzor,4,0,Bronze Pokémon,Steel,Psychic,0.5,60.5,Levitate,Heatproof,Heavy Metal,300,57,24,86,24,86,23,255,70,1000000,Genderless,5120
437,Bronzong,4,0,Bronze Bell Pokémon,Steel,Psychic,1.3,187,Levitate,Heatproof,Heavy Metal,500,67,89,116,79,116,33,90,70,1000000,Genderless,5120
438,Bonsly,4,0,Bonsai Pokémon,Rock,,0.5,15,Sturdy,Rock Head,Rattled,290,50,80,95,10,45,10,255,70,1000000,50,5120
439,Mime Jr.,4,0,Mime Pokémon,Psychic,Fairy,0.6,13,Soundproof,Filter,Technician,310,20,25,45,70,90,60,145,70,1000000,50,6400
440,Happiny,4,0,Playhouse Pokémon,Normal,,0.6,24.4,Natural Cure,Serene Grace,Friend Guard,220,100,5,5,15,65,30,130,140,800000,0,10240
441,Chatot,4,0,Music Note Pokémon,Normal,Flying,0.5,1.9,Keen Eye,Tangled Feet,Big Pecks,411,76,65,45,92,42,91,30,35,1059860,50,5120
442,Spiritomb,4,0,Forbidden Pokémon,Ghost,Dark,1,108,Pressure,,Infiltrator,485,50,92,108,92,108,35,100,70,1000000,50,7680
443,Gible,4,0,Land Shark Pokémon,Dragon,Ground,0.7,20.5,Sand Veil,,Rough Skin,300,58,70,45,40,45,42,45,70,1250000,50,10240
444,Gabite,4,0,Cave Pokémon,Dragon,Ground,1.4,56,Sand Veil,,Rough Skin,410,68,90,65,50,55,82,45,70,1250000,50,10240
445,Garchomp,4,0,Mach Pokémon,Dragon,Ground,1.9,95,Sand Veil,,Rough Skin,600,108,130,95,80,85,102,45,70,1250000,50,10240
446,Munchlax,4,0,Big Eater Pokémon,Normal,,0.6,105,Pickup,Thick Fat,Gluttony,390,135,85,40,40,85,5,50,70,1250000,88.1,10240
447,Riolu,4,0,Emanation Pokémon,Fighting,,0.7,20.2,Steadfast,Inner Focus,Prankster,285,40,70,40,35,40,60,75,70,1059860,88.1,6400
448,Lucario,4,0,Aura Pokémon,Fighting,Steel,1.2,54,Steadfast,Inner Focus,Justified,525,70,110,70,115,70,90,45,70,1059860,88.1,6400
449,Hippopotas,4,0,Hippo Pokémon,Ground,,0.8,49.5,Sand Stream,,Sand Force,330,68,72,78,38,42,32,140,70,1250000,50,7680
450,Hippowdon,4,0,Heavyweight Pokémon,Ground,,2,300,Sand Stream,,Sand Force,525,108,112,118,68,72,47,60,70,1250000,50,7680
451,Skorupi,4,0,Scorpion Pokémon,Poison,Bug,0.8,12,Battle Armor,Sniper,Keen Eye,330,40,50,90,30,55,65,120,70,1250000,50,5120
452,Drapion,4,0,Ogre Scorp Pokémon,Poison,Dark,1.3,61.5,Battle Armor,Sniper,Keen Eye,500,70,90,110,60,75,95,45,70,1250000,50,5120
453,Croagunk,4,0,Toxic Mouth Pokémon,Poison,Fighting,0.7,23,Anticipation,Dry Skin,Poison Touch,300,48,61,40,61,40,50,140,100,1000000,50,2560
454,Toxicroak,4,0,Toxic Mouth Pokémon,Poison,Fighting,1.3,44.4,Anticipation,Dry Skin,Poison Touch,490,83,106,65,86,65,85,75,70,1000000,50,5120
455,Carnivine,4,0,Bug Catcher Pokémon,Grass,,1.4,27,Levitate,,,454,74,100,72,90,72,46,200,70,1250000,50,6400
456,Finneon,4,0,Wing Fish Pokémon,Water,,0.4,7,Swift Swim,Storm Drain,Water Veil,330,49,49,56,49,61,66,190,70,600000,50,5120
457,Lumineon,4,0,Neon Pokémon,Water,,1.2,24,Swift Swim,Storm Drain,Water Veil,460,69,69,76,69,86,91,75,70,600000,50,5120
458,Mantyke,4,0,Kite Pokémon,Water,Flying,1,65,Swift Swim,Water Absorb,Water Veil,345,45,20,50,60,120,50,25,70,1250000,50,6400
459,Snover,4,0,Frost Tree Pokémon,Grass,Ice,1,50.5,Snow Warning,,Soundproof,334,60,62,50,62,60,40,120,70,1250000,50,5120
460,Abomasnow,4,0,Frost Tree Pokémon,Grass,Ice,2.2,135.5,Snow Warning,,Soundproof,494,90,92,75,92,85,60,60,70,1250000,50,5120
461,Weavile,4,0,Sharp Claw Pokémon,Dark,Ice,1.1,34,Pressure,,Pickpocket,510,70,120,65,45,85,125,45,35,1059860,50,5120
462,Magnezone,4,0,Magnet Area Pokémon,Electric,Steel,1.2,180,Magnet Pull,Sturdy,Analytic,535,70,70,115,130,90,60,30,70,1000000,Genderless,5120
463,Lickilicky,4,0,Licking Pokémon,Normal,,1.7,140,Own Tempo,Oblivious,Cloud Nine,515,110,85,95,80,95,50,30,70,1000000,50,5120
464,Rhyperior,4,0,Drill Pokémon,Ground,Rock,2.4,282.8,Lightning Rod,Solid Rock,Reckless,535,115,140,130,55,55,40,30,70,1250000,50,5120
465,Tangrowth,4,0,Vine Pokémon,Grass,,2,128.6,Chlorophyll,Leaf Guard,Regenerator,535,100,100,125,110,50,50,30,70,1000000,50,5120
466,Electivire,4,0,Thunderbolt Pokémon,Electric,,1.8,138.6,Motor Drive,,Vital Spirit,540,75,123,67,95,85,95,30,70,1000000,75.4,6400
467,Magmortar,4,0,Blast Pokémon,Fire,,1.6,68,Flame Body,,Vital Spirit,540,75,95,67,125,95,83,30,70,1000000,75.4,6400
468,Togekiss,4,0,Jubilee Pokémon,Fairy,Flying,1.5,38,Hustle,Serene Grace,Super Luck,545,85,50,95,120,115,80,30,70,800000,88.1,2560
469,Yanmega,4,0,Ogre Darner Pokémon,Bug,Flying,1.9,51.5,Speed Boost,Tinted Lens,Frisk,515,86,76,86,116,56,95,30,70,1000000,50,5120
470,Leafeon,4,0,Verdant Pokémon,Grass,,1,25.5,Leaf Guard,,Chlorophyll,525,65,110,130,60,65,95,45,35,1000000,88.1,8960
471,Glaceon,4,0,Fresh Snow Pokémon,Ice,,0.8,25.9,Snow Cloak,,Ice Body,525,65,60,110,130,95,65,45,35,1000000,88.1,8960
472,Gliscor,4,0,Fang Scorp Pokémon,Ground,Flying,2,42.5,Hyper Cutter,Sand Veil,Poison Heal,510,75,95,125,45,75,95,30,70,1059860,50,5120
473,Mamoswine,4,0,Twin Tusk Pokémon,Ice,Ground,2.5,291,Oblivious,Snow Cloak,Thick Fat,530,110,130,80,70,60,80,50,70,1250000,50,5120
474,Porygon-Z,4,0,Virtual Pokémon,Normal,,0.9,34,Adaptability,Download,Analytic,535,85,80,70,135,75,90,30,70,1000000,Genderless,5120
475,Gallade,4,0,Blade Pokémon,Psychic,Fighting,1.6,52,Steadfast,,Justified,518,68,125,65,65,115,80,45,35,1250000,100,5120
476,Probopass,4,0,Compass Pokémon,Rock,Steel,1.4,340,Sturdy,Magnet Pull,Sand Force,525,60,55,145,75,150,40,60,70,1000000,50,5120
477,Dusknoir,4,0,Gripper Pokémon,Ghost,,2.2,106.6,Pressure,,Frisk,525,45,100,135,65,135,45,45,35,800000,50,6400
478,Froslass,4,0,Snow Land Pokémon,Ice,Ghost,1.3,26.6,Snow Cloak,,Cursed Body,480,70,80,70,80,70,110,75,70,1000000,0,5120
479,Rotom,4,0,Plasma Pokémon,Electric,Ghost,0.3,0.3,Levitate,,,440,50,50,77,95,77,91,45,70,1000000,Genderless,5120
479,Heat Rotom,4,0,Plasma Pokémon,Electric,Fire,0.3,0.3,Levitate,,,520,50,65,107,105,107,86,45,70,1000000,Genderless,5120
479,Wash Rotom,4,0,Plasma Pokémon,Electric,Water,0.3,0.3,Levitate,,,520,50,65,107,105,107,86,45,70,1000000,Genderless,5120
479,Frost Rotom,4,0,Plasma Pokémon,Electric,Ice,0.3,0.3,Levitate,,,520,50,65,107,105,107,86,45,70,1000000,Genderless,5120
479,Fan Rotom,4,0,Plasma Pokémon,Electric,Flying,0.3,0.3,Levitate,,,520,50,65,107,105,107,86,45,70,1000000,Genderless,5120
479,Mow Rotom,4,0,Plasma Pokémon,Electric,Grass,0.3,0.3,Levitate,,,520,50,65,107,105,107,86,45,70,1000000,Genderless,5120
480,Uxie,4,1,Knowledge Pokémon,Psychic,,0.3,0.3,Levitate,,,580,75,75,130,75,130,95,3,140,1250000,Genderless,20480
481,Mesprit,4,1,Emotion Pokémon,Psychic,,0.3,0.3,Levitate,,,580,80,105,105,105,105,80,3,140,1250000,Genderless,20480
482,Azelf,4,1,Willpower Pokémon,Psychic,,0.3,0.3,Levitate,,,580,75,125,70,125,70,115,3,140,1250000,Genderless,20480
483,Dialga,4,1,Temporal Pokémon,Steel,Dragon,5.4,683,Pressure,,Telepathy,680,100,120,120,150,100,90,3,0,1250000,Genderless,30720
484,Palkia,4,1,Spatial Pokémon,Water,Dragon,4.2,336,Pressure,,Telepathy,680,90,120,100,150,120,100,3,0,1250000,Genderless,30720
485,Heatran,4,1,Lava Dome Pokémon,Fire,Steel,1.7,430,Flash Fire,,Flame Body,600,91,90,106,130,106,77,3,100,1250000,50,2560
486,Regigigas,4,1,Colossal Pokémon,Normal,,3.7,420,Slow Start,,,670,110,160,110,80,110,100,3,0,1250000,Genderless,30720
487,Giratina Altered Forme,4,1,Renegade Pokémon,Ghost,Dragon,4.5,750,Pressure,,Telepathy,680,150,100,120,100,120,90,3,0,1250000,Genderless,30720
487,Giratina Origin Forme,4,1,Renegade Pokémon,Ghost,Dragon,6.9,650,Levitate,,,680,150,120,100,120,100,90,3,0,1250000,Genderless,30720
488,Cresselia,4,1,Lunar Pokémon,Psychic,,1.5,85.6,Levitate,,,600,120,70,120,75,130,85,3,100,1250000,0,30720
489,Phione,4,1,Sea Drifter Pokémon,Water,,0.4,3.1,Hydration,,,480,80,80,80,80,80,80,30,70,1250000,Genderless,10240
490,Manaphy,4,1,Seafaring Pokémon,Water,,0.3,1.4,Hydration,,,600,100,100,100,100,100,100,3,70,1250000,Genderless,2560
491,Darkrai,4,1,Pitch-Black Pokémon,Dark,,1.5,50.5,Bad Dreams,,,600,70,90,90,135,90,125,3,0,1250000,Genderless,30720
492,Shaymin Land Forme,4,1,Gratitude Pokémon,Grass,,0.2,2.1,Natural Cure,,,600,100,100,100,100,100,100,45,100,1059860,Genderless,30720
492,Shaymin Sky Forme,4,1,Gratitude Pokémon,Grass,Flying,0.4,5.2,Serene Grace,,,600,100,103,75,120,75,127,45,100,1059860,Genderless,30720
